year,section,rank,title,url
2006,Missed from the original list,,Subverting AJAX,https://fahrplan.events.ccc.de/congress/2006/Fahrplan/attachments/1158-Subverting_Ajax.pdf
2006,Missed from the original list,,Cross-Site Cooking,https://lcamtuf.coredump.cx/cross_site_cooking.txt
2006,Missed from the original list,,SQL Injections by Truncation,https://www.blackhat.com/presentations/bh-usa-06/BH-US-06-Neerumalla.pdf
2006,Missed from the original list,,Ajax (in)security,https://www.blackhat.com/presentations/bh-usa-06/BH-US-06-Hoffman.pdf
2006,Missed from the original list,,Breaking AJAX Web Applications: Vulns 2.0 in Web 2.0,https://www.blackhat.com/presentations/bh-jp-06/BH-JP-06-Stamos-Lackey.pdf
2006,Missed from the original list,,Self-contained XSS Attacks,https://www.gnucitizen.org/blog/self-contained-xss-attacks/
2006,Other nominations,,The Attack of the TINY URLs,https://www.gnucitizen.org/blog/the-attack-of-the-tiny-urls/
2006,Other nominations,,Backdooring MP3 Files,https://www.gnucitizen.org/blog/backdooring-mp3-files/
2006,Other nominations,,CSS history hacking with evil marketing,http://www.cgisecurity.com/2006/10/02
2006,Other nominations,,Stealing Search Engine Queries with JavaScript,http://www.spidynamics.com/spilabs/education/articles/JS-search.html
2006,Other nominations,,MX Injection : Capturing and Exploiting Hidden Mail Servers,http://www.webappsec.org/projects/articles/121106.shtml
2006,Other nominations,,Blind web server fingerprinting,https://www.whitehatsec.com/home/resources/presentations/files/javascript_malware.pdf
2006,Other nominations,,CSRF with MS Word,https://web.archive.org/web/20070101051946/http://michaeldaw.org/md-hacks/csrf-with-msword/
2006,Other nominations,,Backdooring PDF Files,https://web.archive.org/web/20070102032610/http://michaeldaw.org/md-hacks/backdooring-pdf-files/
2006,Other nominations,,Malformed URL in Image Tag Fingerprints Internet Explorer,http://ha.ckers.org/blog/20061206/malformed-url-in-image-tag-fingerprints-internet-explorer/
2006,Other nominations,,JavaScript Portscanning and bypassing HTTP Auth,http://blog.php-security.org/archives/54-JavaScriptHTML-Portscanning-and-HTTP-Auth.html
2006,Other nominations,,Bruteforcing HTTP Auth in Firefox with JavaScript,http://blog.php-security.org/archives/56-Bruteforcing-HTTP-Auth-in-Firefox-with-JavaScript.html
2006,Other nominations,,Bypassing Mozilla Port Blocking,https://jeremiahgrossman.blogspot.com/2006/11/bypassing-mozilla-port-blocking.html
2006,Other nominations,,How to defeat digg.com,https://4diggers.blogspot.com/
2006,Other nominations,,A story that diggs itself,http://ha.ckers.org/blog/20060615/a-story-that-diggs-itself/
2006,Other nominations,,Expect Header Injection Via Flash,http://ha.ckers.org/blog/20060731/expect-header-injection-via-flash/
2006,Other nominations,,Cross Domain Leakage With Image Size,http://ha.ckers.org/blog/20060728/cross-domain-leakage-with-image-size/
2006,Other nominations,,Enumerating Through User Accounts,http://ha.ckers.org/blog/20061118/enumerating-through-user-accounts/
2006,Other nominations,,Widespread XSS for Google Search Appliance,"http://sla.ckers.org/forum/read.php?3,3109"
2006,Other nominations,,Detecting States of Authentication With Protected Images,http://ha.ckers.org/blog/20061108/detecting-states-of-authentication-with-protected-images/
2006,Other nominations,,XSS Fragmentation Attacks,"http://sla.ckers.org/forum/read.php?13,2033"
2006,Other nominations,,Poking new holes with Flash Crossdomain Policy Files,http://www.hardened-php.net/library/poking_new_holes_with_flash_crossdomain_policy_files.html
2006,Other nominations,,Google Indexes XSS,http://ha.ckers.org/blog/20060928/google-indexes-xss/
2006,Other nominations,,XML Intranet Port Scanning,http://www.sift.com.au/36/172/xml-port-scanning-bypassing-restrictive-perimeter-firewalls.htm
2006,Other nominations,,IMAP Vulnerable to XSS,http://www.ngssoftware.com/research/papers/InterProtocolCommunication.pdf
2006,Other nominations,,Detecting Privoxy Users and Circumventing It,http://ha.ckers.org/blog/20060911/detecting-privoxy-users-and-circumventing-it/
2006,Other nominations,,Using CSS to De-Anonymize,http://ha.ckers.org/blog/20060911/using-css-to-de-anonymize/
2006,Other nominations,,Response Splitting Filter Evasion,http://ha.ckers.org/blog/20060827/response-splitting-filter-evasion/
2006,Other nominations,,CSS History Stealing Acts As Cookie,http://ha.ckers.org/blog/20060823/css-history-stealing-acts-as-cookie/
2006,Other nominations,,Detecting FireFox Extentions,http://ha.ckers.org/blog/20060823/detecting-firefox-extentions/
2006,Other nominations,,Stealing User Information Via Automatic Form Filling,http://ha.ckers.org/blog/20060821/stealing-user-information-via-automatic-form-filling/
2006,Other nominations,,Circumventing DNS Pinning for XSS,http://ha.ckers.org/blog/20060815/circumventing-dns-pinning-for-xss/
2006,Other nominations,,Netflix.com XSRF vuln,http://www.webappsec.org/lists/websecurity/archive/2006-10/msg00063.html
2006,Other nominations,,Browser Port Scanning without JavaScript,https://jeremiahgrossman.blogspot.com/2006/11/browser-port-scanning-without.html
2006,Other nominations,,Widespread XSS for Google Search Appliance,"http://sla.ckers.org/forum/read.php?3,3109,3124"
2006,Other nominations,,Bypassing Filters With Encoding,"http://sla.ckers.org/forum/read.php?2,3153,3153"
2006,Other nominations,,Variable Width Encoding,http://ha.ckers.org/blog/20060817/variable-width-encoding/
2006,Other nominations,,Network Scanning with HTTP without JavaScript,http://ilia.ws/archives/145-Network-Scanning-with-HTTP-without-JavaScript.html
2006,Other nominations,,AT&T Hack Highlights Web Site Vulnerabilities,http://www.informationweek.com/news/showArticle.jhtml?articleID=192500500&subSection=Breaking+News
2006,Other nominations,,How to get linked from Slashdot,https://jeremiahgrossman.blogspot.com/2006/09/how-to-get-linked-from-slashdot.html
2006,Other nominations,,F5 and Acunetix XSS disclosure,http://www.darkreading.com/document.asp?doc_id=104313&f_src=darkreading_section_296
2006,Other nominations,,Google plugs phishing hole,https://blogs.securiteam.com/index.php/archives/604
2006,Other nominations,,Nikon magazine hit with security breach,https://seclists.org/isn/2006/Sep/67
2006,Other nominations,,Governator Hack,https://www.infoworld.com/article/2322705/governator-hack-investigated.html
2006,Other nominations,,Metaverse breached: Second Life customer database hacked,http://www.techcrunch.com/2006/09/08/metaverse-breached-second-life-customer-database-hacked/
2006,Other nominations,,HostGator: cPanel Security Hole Exploited in Mass Hack,http://news.netcraft.com/archives/2006/09/23/hostgator_cpanel_security_hole_exploited_in_mass_hack.html
2006,Other nominations,,I know what you've got (Firefox Extensions),https://jeremiahgrossman.blogspot.com/2006/08/i-know-what-youve-got-firefox.html
2006,Other nominations,,ABC News (AU) XSS linking the reporter to Al Qaeda,https://jeremiahgrossman.blogspot.com/2006/01/my-tv-interview-with-abc-news-au.html
2006,Other nominations,,Account Hijackings Force LiveJournal Changes,http://blog.washingtonpost.com/securityfix/2006/01/account_hijackings_force_livej.html
2006,Other nominations,,Xanga Hit By Script Worm,https://blogs.securiteam.com/index.php/archives/166
2006,Other nominations,,Advanced Web Attack Techniques using GMail,http://jeremiahgrossman.blogspot.com/2006/01/advanced-web-attack-techniques-using.html
2006,Other nominations,,PayPal Security Flaw allows Identity Theft,http://news.netcraft.com/archives/2006/06/16/paypal_security_flaw_allows_identity_theft.html
2006,Other nominations,,Bypassing of web filters by using ASCII,http://www.securityfocus.com/archive/1/437948/30/0/threaded
2006,Other nominations,,Adultspace XSS Worm,http://ha.ckers.org/blog/20061214/adultspace-xss-worm/
2006,Other nominations,,Anonymizing RFI Attacks Through Google,https://blogs.securiteam.com/index.php/archives/746
2006,Other nominations,,Google Hacks On Your Behalf,http://ha.ckers.org/blog/20061123/google-hacks-on-your-behalf/
2006,Other nominations,,Google Dorks Strike Again,http://ha.ckers.org/blog/20061005/google-dorks-strike-again/
2006,Other nominations,,Backdooring Flash Objects,https://www.gnucitizen.org/blog/backdooring-flash-objects/
2006,Other nominations,,Backdooring Images,https://www.gnucitizen.org/blog/backdooring-images/
2006,Other nominations,,MySpace QuickTime Worm,http://www.spidynamics.com/spilabs/education/articles/MySpace-QuickTime%20Worm.html
2006,Other nominations,,CSRF with MS Word Part II,http://ha.ckers.org/blog/20061215/csrf-with-word-part-ii/
2006,Top 10,#1,JavaScript Port Scanning,https://www.whitehatsec.com/home/resources/presentations/files/javascript_malware.pdf
2006,Top 10,#2,"Internet Explorer 7 ""mhtml:"" Redirection Information Disclosure",https://secunia.com/advisories/22477/
2006,Top 10,,Anti-DNS Pinning,http://shampoo.antville.org/stories/1451301/
2006,Top 10,#4,I know where you've been,https://jeremiahgrossman.blogspot.com/2006/08/i-know-where-youve-been.html
2006,Top 10,#5,Backdooring QuickTime Movies,https://www.gnucitizen.org/blog/backdooring-quicktime-movies/
2006,Top 10,#6,Forging HTTP request headers with Flash,http://www.securityfocus.com/archive/1/441014/30/0/threaded
2006,Top 10,#7,Exponential XSS Attacks,http://ha.ckers.org/blog/20061211/exponential-xss-attacks/
2006,Top 10,#8,Selecting Encoding Methods For XSS Filter Evasion,http://ha.ckers.org/blog/20061103/selecting-encoding-methods-for-xss-filter-evasion/
2006,Top 10,#9,"Web Worms (AdultSpace, MySpace, Xanga)",http://www.whitehatsec.com/downloads/WHXSSThreats.pdf
2006,Top 10,#10,Hacking RSS Feeds,http://www.cgisecurity.com/papers/HackingFeeds.pdf
2007,Missed from the original list,,Exposing Private Information by Timing Web Applications,https://crypto.stanford.edu/~dabo/pubs/abstracts/webtiming.html
2007,Missed from the original list,,Heap Feng Shui in JavaScript,https://www.blackhat.com/presentations/bh-europe-07/Sotirov/Whitepaper/bh-eu-07-sotirov-WP.pdf
2007,Missed from the original list,,The ND2DB Attack: Database Content Extraction Using Timing Attacks on the Indexing Algorithms,https://www.usenix.org/legacy/event/woot07/tech/full_papers/futoransky/futoransky.pdf
2007,Missed from the original list,,Protecting Browsers from Frame Hijacking Attacks,https://seclab.stanford.edu/websec/frames/
2007,Missed from the original list,,JavaScript Hijacking,https://seclists.org/securecoding/2007/q2/0
2007,Missed from the original list,,The Ghost in the Browser: Analysis of Web-based Malware,https://www.usenix.org/conference/hotbots-07/ghost-browser-analysis-web-based-malware
2007,Missed from the original list,,"CaffeineMonkey: Automated Collection, Detection and Analysis of Malicious JavaScript",https://blackhat.com/presentations/bh-usa-07/Feinstein_and_Peck/Presentation/bh-usa-07-feinstein_and_peck.pdf
2007,Missed from the original list,,An Analysis of Browser Domain-Isolation Bugs and a Light-Weight Transparent Defense Mechanism,https://www.microsoft.com/en-us/research/?p=153771
2007,Missed from the original list,,Transaction Generators: Root Kits for Web,https://www.usenix.org/conference/hotsec-07/transaction-generators-root-kits-web
2007,Other nominations,,Stealing Pictures with Picasa,http://xs-sniper.com/blog/2007/09/24/stealing-pictures-with-picasa/
2007,Other nominations,,HScan Redux,https://www.gnucitizen.org/projects/hscan-redux/
2007,Other nominations,,ISO-8895-1 Vulnerable in Firefox to Null Injection,http://ha.ckers.org/blog/20070210/iso-8895-1-vulnerable-in-firefox-to-null-injection/
2007,Other nominations,,MITM attack to overwrite addons in Firefox,http://paranoia.dubfire.net/2007/05/remote-vulnerability-in-firefox.html
2007,Other nominations,,Microsoft ASP.NET Request Validation Bypass Vulnerability,http://www.procheckup.com/Vulner_PR0703.php
2007,Other nominations,,Non-Alpha-Non-Digit 3,http://ha.ckers.org/blog/20070209/non-alpha-non-digit-3/
2007,Other nominations,,Steal History without JavaScript,https://jeremiahgrossman.blogspot.com/2007/03/i-still-know-where-youve-been-without.html
2007,Other nominations,,"Pure Java™, Pure Evil™ Popups",https://hackademix.net/2007/08/07/java-evil-popups/
2007,Other nominations,,Google Adsense CSRF hole,http://www.thespanner.co.uk/2007/09/27/google-adsense-csrf-hole/
2007,Other nominations,,There's an OAK TREE in my blog!?!?!,http://xs-sniper.com/blog/2008/01/08/theres-an-oak-tree-in-my-blog/
2007,Other nominations,,BK for Mayor of Oak Tree View,http://xs-sniper.com/blog/2007/09/20/bk-for-mayor-of-oak-tree-view/
2007,Other nominations,,Google Docs puts Google Users at Risk,http://xs-sniper.com/blog/2007/09/26/google-docs-puts-google-users-at-risk/
2007,Other nominations,,All Your Google Docs are Belong To US...,http://xs-sniper.com/blog/2007/09/28/all-your-google-docs-are-belong-to-us/
2007,Other nominations,,Java Applets and DNS Rebinding,http://xs-sniper.com/blog/2007/11/04/java-applets-and-dns-rebinding/
2007,Other nominations,,Scanning internal Lan with PHP remote file opening.,http://www.wisec.it/sectou.php?id=46d592056b008
2007,Other nominations,,Firefox File Handling Woes,http://xs-sniper.com/blog/2007/09/01/firefox-file-handling-woes/
2007,Other nominations,,Bugs in the Browser: Firefox's DATA URL Scheme Vulnerability,https://www.gnucitizen.org/blog/bugs-in-the-browser-firefoxs-data-url-scheme-vulnerability
2007,Other nominations,,"Multiviews Apache, Accept Requests and free listing",http://www.wisec.it/sectou.php?id=4698ebdc59d15
2007,Other nominations,,Optimizing the number of requests in blind SQL injection,http://www.wisec.it/sectou.php?id=4706611fe9210
2007,Other nominations,,Bursting Performances in Blind SQL Injection - Take 2 (Bandwidth),http://www.wisec.it/sectou.php?id=472f952d79293
2007,Other nominations,,Favorites Gone Wild,http://blog.watchfire.com/wfblog/2007/10/favorites-gone.html
2007,Other nominations,,Cross-Browser Proxy Unmasking,https://hackademix.net/2007/09/26/cross-browser-proxy-unmasking/
2007,Other nominations,,Spoofing Firefox protected objects,http://www.thespanner.co.uk/2007/11/14/spoofing-firefox-protected-objects/
2007,Other nominations,,Injecting the script tag into XML,http://www.thespanner.co.uk/2007/10/09/injecting-the-script-tag-into-xml/
2007,Other nominations,,Login Detection without JavaScript,https://jeremiahgrossman.blogspot.com/2007/05/intranet-hacking-take-2-for-bh-usa-2007.html
2007,Other nominations,,Username Enumeration Timing Attacks (Sensepost),https://www.sensepost.com/blog/1303.html
2007,Other nominations,,Recursive Request DoS,http://ha.ckers.org/blog/20070901/recursive-request-dos/
2007,Other nominations,,Exaggerating Timing Attack Results Via GET Flooding,http://ha.ckers.org/blog/20071209/exaggerating-timing-attack-results-via-get-flooding/
2007,Other nominations,,Initiating Probes Against Servers Via Other Servers,http://ha.ckers.org/blog/20071209/initiatin-probes-against-servers-via-other-servers/
2007,Other nominations,,Effects of DNS Rebinding On IE's Trust Zones,http://ha.ckers.org/blog/20071112/effects-of-dns-rebinding-on-ies-trust-zones/
2007,Other nominations,,Paper on Hacking Intranets Using Websites (Not Web Browsers),http://ha.ckers.org/blog/20070827/paper-on-hacking-intranets-using-websites-not-web-browsers/
2007,Other nominations,,More Port Scanning - This Time in Flash,http://scan.flashsec.org/
2007,Other nominations,,HTTP Response Splitting and Data: URI scheme in Firefox,http://www.wisec.it/sectou.php?id=472a5b8d1a4cd
2007,Other nominations,,Res:// Protocol Local File Enumeration,http://xs-sniper.com/blog/2007/07/20/more-uri-stuff-ies-resouce-uri/
2007,Other nominations,,Res Timing Attack,http://ha.ckers.org/blog/20070725/res-timing-attack/
2007,Other nominations,,IE6.0 Protocol Guessing,http://ha.ckers.org/blog/20070702/ie60-protocol-guessing/
2007,Other nominations,,IE 7 and Firefox Browsers Digest Authentication Request Splitting,http://www.wisec.it/vulns.php?id=11
2007,Other nominations,,Hacking Intranets Via Brute Force,http://ha.ckers.org/blog/20061228/hacking-intranets-via-brute-force/
2007,Other nominations,,Internet Archiver Port Scanner,http://ha.ckers.org/blog/20070323/internet-archiver-port-scanner/
2007,Other nominations,,Noisy Decloaking Methods,http://ha.ckers.org/blog/20070421/noisy-decloaking-methods/
2007,Other nominations,,Code Execution Through Filenames in Uploads,http://ha.ckers.org/blog/20070620/code-execution-through-filenames-in-uploads/
2007,Other nominations,,Cross Domain Basic Auth Phishing Tactics,http://ha.ckers.org/blog/20070608/cross-domain-basic-auth-phishing-tactics/
2007,Other nominations,,Additional Image Bypass on Windows,http://ha.ckers.org/blog/20070606/additional-image-bypass-on-windows/
2007,Other nominations,,Detecting users via Authenticated Redirects,https://kuza55.blogspot.com/2007/01/more-user-login-detection-via.html
2007,Other nominations,,Passing Malicious PHP Through getimagesize(),http://ha.ckers.org/blog/20070604/passing-malicious-php-through-getimagesize/
2007,Other nominations,,Turn Any Page Into A Greasemonkey Popup,https://web.archive.org/web/20071124032809/http://ha.ckers.org/blog/20070506/turn-any-page-into-a-greasemonkey-popup/
2007,Other nominations,,Enumerate Windows Users In JS,http://ha.ckers.org/blog/20070518/enumerate-windows-users-in-js/
2007,Other nominations,,Anti-DNS Pinning ( DNS Rebinding ) + Socket in FLASH,http://www.jumperz.net/index.php?i=2&a=3&b=3
2007,Other nominations,,Iframe HTTP Ping,http://ha.ckers.org/blog/20070119/iframe-http-ping/
2007,Other nominations,,Read Firefox Settings (PoC),http://ha.ckers.org/blog/20070516/read-firefox-settings-poc/
2007,Other nominations,,Stealing Mouse Clicks for Banner Fraud,http://ha.ckers.org/blog/20070116/stealing-mouse-clicks-for-banner-fraud/
2007,Other nominations,,(Non-Persistent) Untraceable XSS Attacks,https://kuza55.blogspot.com/2007/03/non-persistent-untraceable-xss-attacks.html
2007,Other nominations,,Inter Protocol Exploitation,http://ha.ckers.org/blog/20070411/intra-protocol-exploitation/
2007,Other nominations,,Detecting Default Browser in IE,http://ha.ckers.org/blog/20070319/detecting-default-browser-in-ie/
2007,Other nominations,,"Bypass port blocking in Firefox, Opera and Konqueror.",http://bindshell.net/papers/ftppasv
2007,Other nominations,,LocalRodeo Detection,http://ha.ckers.org/blog/20070403/localrodeo-detection/
2007,Other nominations,,Image Names Gone Bad,http://ha.ckers.org/blog/20070209/image-names-gone-bad/
2007,Other nominations,,IE Sends Local Addresses in Referer Header,http://ha.ckers.org/blog/20070325/ie-sends-local-addresses-in-referer-header/
2007,Other nominations,,Firefox Popup Blocker Allows Reading Arbitrary Local Files,http://www.securiteam.com/securitynews/5JP051FKKE.html
2007,Other nominations,,IE7.0 Detector,http://ha.ckers.org/blog/20070210/ie70-detector/
2007,Other nominations,,overwriting cookies on other people's domains in Firefox.,http://lcamtuf.dione.cc/ffhostname.html
2007,Other nominations,,Embeding SVG That Contains XSS Using Base64 Encoding in Firefox,http://ha.ckers.org/blog/20070216/embeding-svg-that-contains-xss-using-base64-encoding-in-firefox/
2007,Other nominations,,Firefox Header Redirection JavaScript Execution,http://ha.ckers.org/blog/20070309/firefox-header-redirection-javascript-execution/
2007,Other nominations,,Hacking without 0days: Drive-by Java,https://www.gnucitizen.org/blog/hacking-without-0days-drive-by-java/
2007,Other nominations,,Google Urchin password theft madness,https://www.gnucitizen.org/blog/google-urchin-password-theft-madness
2007,Other nominations,,Username Enumeration Vulnerabilities,https://www.gnucitizen.org/blog/username-enumeration-vulnerabilities
2007,Other nominations,,Client-side SQL Injection Attacks,https://www.gnucitizen.org/blog/client-side-sql-injection-attacks
2007,Other nominations,,Content-Disposition Hacking,https://www.gnucitizen.org/blog/content-disposition-hacking
2007,Other nominations,,Flash Cookie Object Tracking,https://www.gnucitizen.org/blog/flash-cookie-object-tracking/
2007,Other nominations,,Java JAR Attacks and Features,https://www.gnucitizen.org/blog/java-jar-attacks-and-features
2007,Other nominations,,Severe XSS in Google and Others due to the JAR protocol issues,https://www.gnucitizen.org/blog/severe-xss-in-google-and-others-due-to-the-jar-protocol-issues
2007,Other nominations,,0DAY: QuickTime pwns Firefox,https://www.gnucitizen.org/projects/0day-quicktime-pwns-firefox/
2007,Other nominations,,Exploiting Second Life,https://www.securityevaluators.com/sl/
2007,Top 10,#1,XSS Vulnerabilities in Common Shockwave Flash Files,https://docs.google.com/View?docid=ajfxntc4dmsq_14dt57ssdw&pli=1
2007,Top 10,#2,Universal XSS in Adobe's Acrobat Reader Plugin,http://archives.neohapsis.com/archives/fulldisclosure/2007-01/0062.html
2007,Top 10,,Web Mayhem: Firefox's JAR: Protocol issues,https://www.gnucitizen.org/blog/web-mayhem-firefoxs-jar-protocol-issues
2007,Top 10,#4,Cross-Site Printing (Printer Spamming),https://img2.helpnetsecurity.com/dl/articles/CrossSitePrinting.pdf
2007,Top 10,#5,Hiding JS in Valid Images,http://ha.ckers.org/blog/20070623/hiding-js-in-valid-images/
2007,Top 10,#6,Firefoxurl URI Handler Flaw,http://xs-sniper.com/blog/2007/07/17/firefoxurl-uri-handler-flaw/
2007,Top 10,#7,Anti-DNS Pinning ( DNS Rebinding ) : Online Demonstration,http://www.jumperz.net/index.php?i=2&a=1&b=7
2007,Top 10,#8,Google GMail E-mail Hijack Technique,https://www.gnucitizen.org/blog/google-gmail-e-mail-hijack-technique/
2007,Top 10,#9,PDF XSS Can Compromise Your Machine,http://ha.ckers.org/blog/20070103/pdf-xss-can-compromise-your-machine/
2007,Top 10,#10,Port Scan without JavaScript,https://jeremiahgrossman.blogspot.com/2006/11/browser-port-scanning-without.html
2008,Missed from the original list,,Robust Defenses for Cross-Site Request Forgery (Login CSRF & the Origin header),https://seclab.stanford.edu/websec/csrf/csrf.pdf
2008,Missed from the original list,,Creating a Rogue CA Certificate,http://www.phreedom.org/research/rogue-ca/
2008,Missed from the original list,,Securing Frame Communication in Browsers (postMessage target-origin security),https://www.usenix.org/legacy/event/sec08/tech/full_papers/barth/barth_html/index.html
2008,Missed from the original list,,ForceHTTPS: Protecting High-Security Web Sites from Network Attacks,https://archives.iw3c2.org/www2008/papers/pdf/p525-jacksonA.pdf
2008,Missed from the original list,,Black Ops 2008: It's The End Of The Cache As We Know It,https://blackhat.com/presentations/bh-jp-08/bh-jp-08-Kaminsky/BlackHat-Japan-08-Kaminsky-DNS08-BlackOps.pdf
2008,Missed from the original list,,On Race Vulnerabilities in Web Applications,https://roberto.greyhats.it/pubs/dimva08-web.pdf
2008,Missed from the original list,,Increased DNS Forgery Resistance Through 0x20-Bit Encoding,https://coeus.ece.gatech.edu/2008/10/01/DNS_Forgery/
2008,Missed from the original list,,Automatic Generation of XSS and SQL Injection Attacks with Goal-Directed Model Checking,https://www.usenix.org/legacy/event/sec08/tech/full_papers/martin/martin_html/index.html
2008,Missed from the original list,,CookieMonster: Fully Automated Active HTTPS Cookie Hijacking,https://fscked.org/projects/cookiemonster
2008,Missed from the original list,,"Exploitable Redirects on the Web: Identification, Prevalence, and Defense",https://www.usenix.org/event/woot08/tech/full_papers/shue/shue.pdf
2008,Other nominations,,CUPS Detection,https://jeremiahgrossman.blogspot.com/2008/03/fun-with-cups.html
2008,Other nominations,,CSRFing the uTorrent plugin,https://r00tin.blogspot.com/2008/04/utorrent-pwn3d.html
2008,Other nominations,,Bypassing URL Authentication and Authorization with HTTP Verb Tampering,https://www.aspectsecurity.com/documents/Bypassing_VBAAC_with_HTTP_Verb_Tampering.pdf
2008,Other nominations,,"I used to know what you watched, on YouTube (CSRF + Crossdomain.xml)",https://jeremiahgrossman.blogspot.com/2008/09/i-used-to-know-what-you-watched-on.html
2008,Other nominations,,Flash clipboard Hijack,https://blogs.adobe.com/psirt/2008/09/clipboard_attack_update.html
2008,Other nominations,,Flash Internet Explorer security model bug,http://blog.guya.net/2008/09/10/bug-in-internet-explorer-security-model-when-embedding-flash/
2008,Other nominations,,Frame Injection Fun,https://www.gnucitizen.org/blog/frame-injection-fun/
2008,Other nominations,,Free MacWorld Platinum Pass? Yes in 2008!,http://grutztopia.jingojango.net/2008/01/another-free-macworld-platinum-pass-yes.html
2008,Other nominations,,"Diminutive Worm, 161 byte Web Worm",http://ha.ckers.org/blog/20080110/diminutive-worm-contest-wrapup/
2008,Other nominations,,SNMP XSS Attack,https://web.archive.org/web/20130102183427/http://www.procheckup.com/media/41602/hacking_zyxel_gateways.pdf
2008,Other nominations,,Res Timing File Enumeration Without JavaScript in IE7.0,http://ha.ckers.org/blog/20080227/res-timing-file-enumeration-without-javascript-in-ie70/
2008,Other nominations,,Stealing Basic Auth with Persistent XSS,https://schmoil.blogspot.com/2008/03/stealing-basic-auth-with-persistent-xss.html
2008,Other nominations,,Smuggling SMTP through open HTTP proxies,https://schmoil.blogspot.com/2008/03/smuggling-smtp-through-open-http.html
2008,Other nominations,,Collecting Lots of Free 'Micro-Deposits',https://blog.wired.com/27bstroke6/2008/05/man-allegedly-b.html
2008,Other nominations,,Using your browser URL history to estimate gender,http://www.mikeonads.com/2008/07/13/using-your-browser-url-history-estimate-gender/
2008,Other nominations,,Cross-site File Upload Attacks,https://www.gnucitizen.org/blog/cross-site-file-upload-attacks/
2008,Other nominations,,Same Origin Bypassing Using Image Dimensions,http://i8jesus.com/?p=13
2008,Other nominations,,HTTP Proxies Bypass Firewalls,http://ha.ckers.org/blog/20080520/http-proxies-bypass-firewalls/
2008,Other nominations,,Join a Religion Via CSRF,http://ha.ckers.org/blog/20080403/join-a-religion-via-csrf/
2008,Other nominations,,JavaScript Global Namespace Pollution,https://www.gnucitizen.org/blog/javascript-global-namespace-pollution/
2008,Other nominations,,HTML/CSS Injections - Primitive Malicious Code,http://i8jesus.com/?p=10
2008,Other nominations,,Hacking Intranets Through Web Interfaces,http://www.sectheory.com/intranet-hacking.htm
2008,Other nominations,,Cookie Path Traversal,https://kuza55.blogspot.com/2008/07/cookie-path-traversal.html
2008,Other nominations,,Racing to downgrade users to cookie-less authentication,https://kuza55.blogspot.com/2008/02/racing-to-downgrade-users-to-cookie.html
2008,Other nominations,,MySQL and SQL Column Truncation Vulnerabilities,http://www.suspekt.org/2008/08/18/mysql-and-sql-column-truncation-vulnerabilities/
2008,Other nominations,,Building Subversive File Sharing With Client Side Applications,http://www.sectheory.com/file-sharing.htm
2008,Other nominations,,Firefox XML injection into parse of remote XML,http://scary.beasts.org/security/CESA-2008-010.html
2008,Other nominations,,"Firefox cross-domain information theft (simple text strings, some CSV)",http://scary.beasts.org/security/CESA-2008-011.html
2008,Other nominations,,Firefox 2 and WebKit nightly cross-domain image theft,http://scary.beasts.org/security/CESA-2008-009.html
2008,Other nominations,,Browser's Ghost Busters,https://sirdarckcat.blogspot.com/2008/05/browsers-ghost-busters.html
2008,Other nominations,,Exploiting XSS vulnerabilities on cookies,https://sirdarckcat.blogspot.com/2008/01/exploiting-xss-vulnerabilities-on.html
2008,Other nominations,,Cross Environment Hopping,http://blog.watchfire.com/wfblog/2008/06/cross-environ-1.html
2008,Other nominations,,Exploiting Logged Out XSS Vulnerabilities,https://kuza55.blogspot.com/2008/02/exploiting-logged-out-xss.html
2008,Other nominations,,Exploiting CSRF Protected XSS,https://kuza55.blogspot.com/2008/02/exploiting-csrf-protected-xss.html
2008,Other nominations,,Arbitrary TCP over uploaded pages,https://www.sensepost.com/research/reDuh/
2008,Other nominations,,Local DoS on CUPS to a remote exploit via specially-crafted webpage,https://www.gnucitizen.org/blog/pwning-ubuntu-via-cups/
2008,Other nominations,,JavaScript Code Flow Manipulation,http://blog.watchfire.com/wfblog/2008/06/javascript-code.html
2008,Other nominations,,"Common localhost dns misconfiguration can lead to ""same site"" scripting",http://seclists.org/bugtraq/2008/Jan/0270.html
2008,Other nominations,,Pulling system32 out over blind SQL Injection,http://blueinfy.com/wp/blindsql.pdf
2008,Other nominations,,Dialog Spoofing - Firefox Basic Authentication,https://web.archive.org/web/20080106144155/http://aviv.raffon.net/2008/01/02/YetAnotherDialogSpoofingFirefoxBasicAuthentication.aspx
2008,Other nominations,,Skype cross-zone scripting vulnerability,http://aviv.raffon.net/2008/01/17/SkypeCrosszoneScriptingVulnerability.aspx
2008,Other nominations,,Safari pwns Internet Explorer,https://web.archive.org/web/20081014003640/http://aviv.raffon.net:80/2008/05/31/SafariPwnsInternetExplorer.aspx
2008,Other nominations,,"IE ""Print Table of Links"" Cross-Zone Scripting Vulnerability",https://web.archive.org/web/20080519094504/http://aviv.raffon.net/2008/05/14/InternetExplorerQuotPrintTableOfLinksquotCrossZoneScriptingVulnerability.aspx
2008,Other nominations,,SSID Script Injection,http://usefulfor.com/security/2008/08/04/ssid-script-injection/
2008,Other nominations,,DHCP Script Injection,http://usefulfor.com/security/2008/08/04/dhcp-script-injection/
2008,Other nominations,,File Download Injection,https://dl.packetstormsecurity.net/papers/attack/Aspect_File_Download_Injection.pdf
